"limits",30.0009,100.0074
"peaks",43.892469995798386,50.97404683182233,75.01950488096622,91.02347741265484
"masked X","X","obs","calc","bkg","diff"
35.5851,35.5851,225.0,211.63182223775385,211.27230873413995,-8.451822237753852
35.6045,35.6045,223.0,211.70289639802652,211.34188711366784,-10.522896398026525
35.624,35.624,217.0,211.77421963896845,211.41169670823552,-16.594219638968447
35.6435,35.6435,196.0,211.84542507581503,211.48137857531373,-37.66542507581503
35.6629,35.6629,207.0,211.91614877365527,211.55057638926556,-26.736148773655266
35.6824,35.6824,192.0,211.98712005258963,211.62000356643694,-41.80712005258963
35.7018,35.7018,206.0,212.05761097155943,211.68894806998452,-27.877610971559427
35.7213,35.7213,206.0,212.12834855848863,211.75812070520846,-27.948348558488625
35.7407,35.7407,205.0,212.19860721146898,211.8268120463504,-29.018607211468982
35.7602,35.7602,221.0,212.2691114113953,211.89573028918937,-13.0891114113953
35.7797,35.7797,210.0,212.3394990565629,211.96452106563376,-24.159499056562886
35.7991,35.7991,217.0,212.4094100840948,212.0328326191337,-17.229410084094788
35.8186,35.8186,220.0,212.4795652514273,212.10136923073165,-14.299565251427289
35.838,35.838,230.0,212.54924535463292,212.1694279989811,-4.369245354632916
35.8575,35.8575,214.0,212.6191687012325,212.2377105992896,-20.439168701232497
35.8769,35.8769,195.0,212.68861851481927,212.30551673584986,-39.50861851481927
35.8964,35.8964,235.0,212.75831060198556,212.37354548001653,0.4216893980144434
35.9159,35.9159,219.0,212.8278871289867,212.44144702869716,-15.647887128986703
35.9353,35.9353,209.0,212.89699207575615,212.5088741847896,-25.716992075756146
35.9548,35.9548,229.0,212.96633823678894,212.57652211322826,-5.786338236788943
35.9742,35.9742,215.0,213.03521431377547,212.64369702864624,-19.85521431377547
35.9937,35.9937,196.0,213.10433061843298,212.71109149595395,-38.92433061843298
36.0131,36.0131,195.0,213.17297840986564,212.77801432977787,-39.992978409865636
36.0326,36.0326,216.0,213.24186568194474,212.8451554966437,-19.061865681944745
36.0521,36.0521,185.0,213.31063837272978,212.91216974866896,-50.130638372729784
36.0715,36.0715,218.0,213.3789446162746,212.97871443821023,-17.198944616274595
36.091,36.091,194.0,213.44748898122504,213.04547563398913,-41.267488981225036
36.1104,36.1104,200.0,213.51556864068368,213.1117686467018,-35.33556864068368
36.1299,36.1299,232.0,213.58388546908793,213.17827695085555,-3.403885469087932
36.1493,36.1493,209.0,213.65173901035737,213.2443184512957,-26.471739010357375
36.1688,36.1688,215.0,213.71982911229344,213.31057403001094,-20.53982911229344
36.1883,36.1883,196.0,213.78780561091557,213.37670298419113,-39.60780561091557
36.2077,36.2077,196.0,213.85532109471615,213.4423672053164,-39.675321094716146
36.2272,36.2272,188.0,213.92307174781402,213.50824368648378,-47.74307174781402
36.2466,36.2466,191.0,213.99036298453433,213.57365681374372,-44.81036298453433
36.2661,36.2661,215.0,214.0578884824496,213.63928099198574,-20.877888482449613
36.2855,36.2855,204.0,214.12495600389138,213.70444319536864,-31.944956003891384
36.305,36.305,210.0,214.19225720735503,213.76981524232596,-26.012257207355027
36.3245,36.3245,190.0,214.25944585580217,213.83506096463714,-46.07944585580217
36.3439,36.3439,189.0,214.32617909544106,213.8998467822266,-47.14617909544106
36.3634,36.3634,220.0,214.39314462750266,213.9648406338431,-16.213144627502665
36.3828,36.3828,199.0,214.45965592946038,214.0293759594956,-37.27965592946038
36.4023,36.4023,235.0,214.5263987779441,214.0941181159276,-1.3463987779441098
36.4217,36.4217,214.0,214.5926891209733,214.15840312502002,-22.41268912097329
36.4412,36.4412,206.0,214.65921021976908,214.22289376331833,-30.47921021976908
36.4607,36.4607,191.0,214.72562049009073,214.28725838636586,-45.545620490090734
36.4801,36.4801,176.0,214.7915802797856,214.35116793151116,-60.61158027978559
36.4996,36.4996,187.0,214.85776997143535,214.4152813051138,-49.677769971435346
36.519,36.519,208.0,214.9235106551481,214.4789409790631,-28.743510655148107
36.5385,36.5385,189.0,214.98948041994188,214.54280328410988,-47.809480419941885
36.5579,36.5579,210.0,215.05500284060264,214.60621326758516,-26.87500284060264
36.5774,36.5774,212.0,215.12075369299706,214.66982468649326,-24.940753692997056
36.5969,36.5969,219.0,215.18639524953753,214.73331040897574,-18.006395249537526
36.6163,36.6163,209.0,215.2515914946793,214.79634587844646,-28.071591494679303
36.6358,36.6358,193.0,215.31701509343657,214.8595809915121,-44.13701509343657
36.6552,36.6552,246.0,215.38199531852314,214.92236722918815,8.798004681476861
36.6747,36.6747,210.0,215.44720211622192,214.9853519190611,-27.267202116221917
36.6941,36.6941,191.0,215.51196699567572,215.04788911096603,-46.33196699567572
36.7136,36.7136,200.0,215.57695817612068,215.1106235653861,-37.396958176120684
